address,label,status,n_tx,n_sent,n_received,sent_ratio,n_counterparties,n_out_counterparties,n_in_counterparties,counterparty_ratio,repeat_counterparty_ratio,total_eth_sent,total_eth_received,mean_eth_sent,max_eth_sent,mean_eth_received,max_eth_received,net_eth_flow,value_concentration,zero_value_ratio,mean_gas_price_gwei,max_gas_price_gwei,std_gas_price_gwei,mean_gas_limit,failed_ratio,self_tx_ratio,first_block,last_block,lifetime_days,tx_per_active_day,mean_days_between_tx,min_days_between_tx,burstiness,degree,in_degree,out_degree,pagerank,clustering,community_size,neighbour_risk_ratio,n_labelled_neighbours
0x693d47204555361d4d51311f97102a1507559802,1,ok,22,7.0,15.0,0.3181818181818182,17.0,7.0,12.0,0.7727272727272727,0.2272727272727272,1.837934045978043,1.8046592774886672,0.2625620065682919,0.76972989,0.1203106184992444,0.77114189,-0.0332747684893759,0.4188016929575913,0.0,32.67045454545455,140.0,34.73613084609489,68803.0,0.0,0.0,5099280,11763911,1080.1643655901405,0.0203672706680899,51.43639836143525,0.0023941577777818,1.7409025733828285,17.0,12.0,7.0,0.0001588518539396,0.0,384.0,0.0,0.0
0xf2c55a8b92adf3fbda257af9329100d80f7fdddc,0,ok,3,2.0,1.0,0.6666666666666666,2.0,1.0,1.0,0.6666666666666666,0.3333333333333333,1.80673868,1.80689618,0.90336934,1.80664618,1.80689618,1.80689618,0.0001575,0.9999488027787172,0.0,12.833333333333334,31.0,12.886254520051803,60667.0,0.0,0.0,4337069,7282137,516.4300192474547,0.0058091123447308,258.2150096237273,0.0146947692583004,0.9999430909563324,2.0,1.0,1.0,1.2650171107047545e-05,0.0,182.0,0.0,0.0
0x1363077895b20ae90f80794ce4e575559517d033,1,ok,65,3.0,62.0,0.0461538461538461,42.0,2.0,41.0,0.6461538461538462,0.3538461538461538,45.43799297614328,45.44057597614327,15.145997658714426,39.06004847614328,0.7329125157442463,5.0,0.0025829999999942,0.859634106124611,0.0,38.5455614858,128.0,25.86528471841022,72305.63076923077,0.0,0.0,5173984,5200035,4.408620378518546,14.74384147855396,0.0688846934143522,0.0008461518530492,1.0878567729235162,42.0,41.0,2.0,0.0004892003105484,0.0,1148.0,0.0,1.0
0x2268751eafc860781074d25f4bd10ded480310b9,1,ok,100,48.0,52.0,0.48,82.0,46.0,45.0,0.82,0.18,1151.1978106381775,996.7284874937816,23.9832877216287,1150.8,19.16785552872657,880.0,-154.46932314439607,0.9996544376348692,0.32,39.99026943259,60.0,18.384292956998625,63048.12,0.0,0.0,4223842,24481427,3090.71253228389,0.0323549987116093,31.21931850791808,0.0,7.570407571812587,82.0,45.0,46.0,0.0005901449184599,0.0,3798.0,0.0,0.0
0x4899f3371fb9f8e68a0b639bf1fd75220a089c42,1,ok,22,2.0,20.0,0.0909090909090909,21.0,2.0,19.0,0.9545454545454546,0.0454545454545454,14.86218970799503,14.863638707995031,7.431094853997515,14.75305070799503,0.7431819353997515,5.15,0.0014490000000009,0.9926566002625246,0.0,39.05,70.0,23.004895724013345,98395.0,0.0,0.0,5109638,5141268,5.352756614814754,4.110031817832122,0.2548931721340358,0.0,1.8078440258266313,21.0,19.0,2.0,0.0002149895545469,0.0,121.0,0.0,0.0
0xf4710562c804087af20b7396ce7cba38b43fb61f,1,ok,9,7.0,2.0,0.7777777777777778,9.0,7.0,2.0,1.0,0.0,1.23968819,1.25,0.1770983128571428,0.795,0.625,0.95,0.0103118099999999,0.6412902909077484,0.0,37.77777777777778,45.0,12.993825694261083,46666.666666666664,0.0,0.0,5132782,5194502,10.444898459260113,0.8616646715240098,1.305612307407514,0.0015230733349367,0.968847676608138,9.0,2.0,7.0,2.354858690568959e-05,0.0,1474.0,0.0,0.0
0xba83e9ce38b10522e3d6061a12779b7526839eda,1,ok,100,84.0,16.0,0.84,53.0,48.0,8.0,0.53,0.47,1251.2398404408066,510.6452866658258,14.895712386200078,739.0,31.91533041661411,98.0,-740.5945537749808,0.5906141861177098,0.74,54.29,60.0,13.08915199697826,132846.53,0.0,0.0,4000029,4423295,101.25992524851804,0.987557513543232,1.0228275277628085,0.0,6.953069995862364,54.0,8.0,49.0,7.436795437685698e-05,0.076869322152341,3798.0,1.0,5.0
0x58a166f9a6ff996e2349eea90d42cc198529a037,1,ok,3,1.0,2.0,0.3333333333333333,3.0,1.0,2.0,1.0,0.0,1.4388225,1.4409015,1.4388225,1.4388225,0.72045075,1.331521,0.0020790000000001,1.0,0.0,84.33333333333333,99.0,20.741798914805393,21000.0,0.0,0.0,4901758,4918217,2.882504293518486,1.040761676138943,1.441252146759243,0.0220666833332291,0.9846892277781876,3.0,2.0,1.0,3.447684386883675e-05,0.0,4.0,0.0,0.0
0xedf202629bb7e9f72d4c62c325d198513fa7a3d3,1,ok,4,2.0,2.0,0.5,3.0,1.0,2.0,0.75,0.25,0.0,0.0936584,0.0,0.0,0.0468292,0.08131226,0.0936584,0.0,0.5,42.25,60.0,13.626720074911644,75500.0,0.0,0.0,3988467,3988691,0.0431462474056968,4.0,0.0143820824685655,0.0034671091674654,0.5716029309363005,3.0,2.0,1.0,2.3616788753090262e-05,0.0,559.0,0.0,0.0
0xea0dfae6d91c51e5076435ac04e262648193b9c1,0,ok,6,4.0,2.0,0.6666666666666666,6.0,4.0,2.0,1.0,0.0,3000.9982360000004,3001.0,750.2495590000001,2715.65117198538,1500.5,2653.2876803485874,0.001763999999639,0.9049159507687828,0.0,21.0,21.0,0.0,32500.0,0.0,0.0,4054247,4054275,0.0067417103714413,6.0,0.0013483420742882,0.0,0.9077332165117782,6.0,2.0,4.0,2.899178002909622e-05,0.0,19.0,0.0,1.0
0xab081742998c8d578ee1123db279b54dac1ce08e,0,ok,57,27.0,30.0,0.4736842105263157,32.0,2.0,30.0,0.5614035087719298,0.4385964912280701,5.479635826005382,5.532697462,0.2029494750372363,0.49944203,0.1844232487333333,0.5012,0.0530616359946174,0.091145113627759,0.0,45.26587869231579,155.0,32.22739305681163,88063.9298245614,0.0,0.0,4394815,19476119,2351.165429827593,0.0242432962295552,41.98509696120701,0.0011611736124312,7.022844002160629,32.0,30.0,2.0,0.0003001772604787,0.002016129032258,1541.0,0.0,1.0
0xe4faeef4002c200d9d4f1d381ccb5fb679d1c437,1,ok,12,6.0,6.0,0.5,7.0,4.0,3.0,0.5833333333333334,0.4166666666666667,1.41285449,1.41831449,0.2354757483333333,0.50761711,0.2363857483333333,0.50782711,0.00546,0.3592847767359255,0.0,40.0453125,100.0,31.846303782635204,21700.0,0.0,0.0,5620905,5691443,12.40658919259078,0.9672279636023094,1.12787174478098,0.0040453592577466,2.056630994612293,7.0,3.0,4.0,5.142637642849157e-05,0.0,2397.0,0.0,0.0
0xef57aa4b57587600fc209f345fe0a2687bc26985,1,ok,100,11.0,89.0,0.11,80.0,3.0,77.0,0.8,0.2,1785.06137948149,180.0589869899699,162.27830722559,300.0,2.0231346852805605,64.0,-1605.00239249152,0.1680614478854175,0.01,21.11081265661,60.0,10.937764088600396,126837.66,0.0,0.0,4384027,18440936,2208.6116130353703,0.0452773133174676,22.309208212478488,0.0007110372213301,9.83331138761818,80.0,77.0,3.0,0.0008459478835118,0.0,84.0,0.0,1.0
0x19fb7020381fe9197bf841d5034d5467fe5a3c93,1,ok,89,0.0,88.0,0.0,11.0,0.0,11.0,0.1235955056179775,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.518539338786517,41.0,5.636231831203776,165822.52808988764,0.0,0.0,6554645,10126446,580.9300092852778,0.1532026209310435,6.601477378241793,0.0011459913877425,2.3425496139904753,11.0,11.0,0.0,0.0001280806506991,0.0,13.0,0.0,0.0
0x91619a3456fdbac90bd93f51f2917981f0ed3097,1,ok,9,2.0,7.0,0.2222222222222222,9.0,2.0,7.0,1.0,0.0,10.6878272,10.688541200000005,5.3439136000000005,5.3440291,1.5269344571428576,5.3440291,0.0007140000000021,0.500010806686695,0.0,26.0,57.0,18.475208614068023,23333.333333333332,0.0,0.0,4907316,7109710,375.47309425370287,0.0239697601179348,46.93413678171285,4.948881455555006,1.512904040325948,9.0,7.0,2.0,6.612390237946406e-05,0.0,377.0,0.0,0.0
0x3715b1ed9bbd5e165af97619b5c5e13e39f55504,1,ok,24,1.0,23.0,0.0416666666666666,24.0,1.0,23.0,1.0,0.0,19.874192476690816,19.87457046891304,19.874192476690816,19.874192476690816,0.8641117595179584,4.0,0.0003779922222264,1.0,0.0,20.079166666708332,50.0,15.285422771520984,26375.0,0.0,0.0,5167563,5663399,84.7754000088876,0.2831009938907267,3.6858869569081567,0.0011846125926132,4.604135096958263,24.0,23.0,1.0,0.0002184548320325,0.0,2397.0,0.0,1.0
0x65af8c81291fb60a20235d9e4de80851f8f845d2,1,ok,8,0.0,7.0,0.0,4.0,0.0,4.0,0.5,0.4285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.625,7.0,1.4947825928876748,347379.25,0.0,0.0,5120012,5830816,121.92855395629726,0.0656121945222727,17.41836485089961,0.0005150309729355,1.7459027762064383,4.0,4.0,0.0,1.3253575012067536e-05,0.0,165.0,0.0,0.0
